TIMESTAMP;Evento
2011-06-05 00:00:00;Troca do Reator
2013-07-02 00:00:00;Troca do Reator (Furo na calota inferior do vaso)
2015-05-04 00:00:00;"Inspeção do vaso (Poros no eixo e no bocal 12"")"
2015-11-25 00:00:00;Vazamento pelo domo
2017-02-22 00:00:00;"Falha no reparo DN12"", c/ vazamento externo (Instalada luva de vidro)"
2017-07-18 00:00:00;Troca do Reator
2017-11-18 00:00:00;Substituição da BV devido falha
2024-05-04 00:00:00;Vazamento pelo bocal de fundo
2025-03-09 00:00:00;Vazamento do bocal do radar
